지역, 온도, 습도
강릉,24.5,67
강진군,27.1,37
강화,20.6,70
거제,25.9,37
거창,26.5,46
경주시,27.9,40
고산,23.7,82
고창,27.1,41
고창군,27.5,39
고흥,26.9,35
광양시,27.4,34
광주,29.1,32
구미,27.5,43
군산,26.3,40
금산,27.0,42
김해시,26.9,40
남원,28.1,34
남해,26.3,41
대관령,20.8,53
대구,27.7,39
대전,27.4,47
동두천,20.7,81
동해,18.3,82
목포,27.8,40
문경,24.2,60
밀양,28.9,34
백령도,15.5,98
보령,25.0,45
보성군,27.1,38
보은,26.4,51
봉화,21.6,58
부산,26.1,39
부안,27.0,44
부여,28.2,38
북강릉,22.5,68
북창원,28.8,40
북춘천,23.1,65
산청,26.7,44
상주,25.6,58
서귀포,24.7,78
서산,25.5,45
서울,23.6,60
성산,23.3,74
세종,25.8,43
속초,17.2,88
수원,24.6,61
순창군,28.3,36
순천,27.2,40
안동,25.2,54
양산시,28.7,38
양평,24.5,56
여수,24.6,38
영광군,28.2,41
영덕,21.6,63
영월,25.2,49
영주,24.8,58
영천,26.9,47
완도,25.6,39
울릉도,19.1,86
울산,25.0,38
울진,18.9,86
원주,24.1,53
의령군,28.7,32
의성,26.3,50
이천,25.6,54
인제,22.6,60
인천,22.0,52
임실,26.6,37
장수,26.1,35
장흥,26.5,37
전주,27.6,41
정선군,25.0,49
정읍,27.3,38
제주,24.0,69
제천,24.9,49
진도군,26.6,46
진주,27.5,37
창원,25.9,34
천안,25.4,55
철원,20.2,96
청송군,26.7,54
청주,26.0,46
추풍령,25.6,54
춘천,23.2,61
충주,26.7,49
태백,22.1,53
통영,27.2,41
파주,19.8,80
포항,25.0,51
함양군,28.0,36
합천,27.5,42
해남,27.9,34
홍성,25.8,42
홍천,23.7,63
흑산도,23.9,63
